Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;
ft53.atsp;10017;ms;7331;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10021;ms;7634;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7626;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10026;ms;7660;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10036;ms;6967;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10003;ms;7427;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10021;ms;7143;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10043;ms;7174;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10004;ms;7394;170;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10025;ms;7521;169;150;3;0.15;2;1;2;5;1;10;7354,48;6967;169;;;;;;;;;;;;
ft53.atsp;10011;ms;7382;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;7450;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;7488;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10019;ms;7811;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10034;ms;7248;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10000;ms;7493;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10036;ms;7444;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10017;ms;6975;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10002;ms;7300;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10019;ms;7571;151;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10042;ms;7342;158;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10006;ms;7248;157;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10046;ms;7726;152;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
ft53.atsp;10019;ms;7516;150;150;3;0.15;2;2;2;5;1;10;;;;;;;;;;;;;;;
