Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ft53.atsp;10012;ms;7847;163;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10037;ms;7938;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10018;ms;7645;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10003;ms;7752;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10020;ms;7443;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10041;ms;7751;168;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;7403;162;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10024;ms;7623;169;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10004;ms;7600;167;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10019;ms;7251;167;150;3;0.15;2;1;2;1;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10034;ms;7452;162;150;3;0.15;2;1;2;1;1;10;7642,55;7251;;;;;;;;;;;;;;;;;
ft53.atsp;10038;ms;7057;161;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10020;ms;7198;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10010;ms;7054;167;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10044;ms;7230;160;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10039;ms;7725;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10002;ms;7136;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10012;ms;7275;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10006;ms;7137;168;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10044;ms;7070;169;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10004;ms;7320;162;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
ft53.atsp;10025;ms;7353;158;150;3;0.15;2;1;2;5;1;10;;;;;;;;;;;;;;;;;;;
